                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                  1.005,                0.83489,                 1.2978,                0.82509,                0.78478,                0.86184,                0.58582,                 1.1246,                  0.808,                 1.4662,              0.0007756,              0.0007756,              0.0007756
                     70,                 1.0065,                0.83303,                 1.3033,                0.84836,                 0.7968,                0.87914,                0.59811,                 1.1099,                0.80119,                  1.459,              0.0007723,              0.0007723,              0.0007723
                     71,                0.97294,                0.79258,                 1.2783,                0.82818,                 0.7955,                0.87692,                0.61095,                 1.1015,                0.78963,                 1.4494,               0.000769,               0.000769,               0.000769
                     72,                0.98645,                0.80541,                 1.2889,                0.81981,                 0.7884,                0.86496,                 0.5941,                 1.1147,                0.81367,                 1.4781,              0.0007657,              0.0007657,              0.0007657
                     73,                0.96955,                0.77396,                 1.2774,                 0.8551,                 0.7775,                0.87496,                0.59415,                 1.1223,                0.78757,                  1.464,              0.0007624,              0.0007624,              0.0007624
                     74,                0.97777,                0.78407,                 1.2792,                0.82863,                0.82495,                0.87387,                 0.6058,                   1.11,                0.77016,                 1.4585,              0.0007591,              0.0007591,              0.0007591
                     75,                0.97568,                0.80396,                 1.2774,                0.84487,                0.78034,                0.87552,                0.60637,                  1.098,                0.78608,                 1.4429,              0.0007558,              0.0007558,              0.0007558
                     76,                  0.967,                0.76447,                 1.2722,                0.84404,                0.79997,                 0.8769,                0.60172,                 1.1176,                0.77763,                 1.4458,              0.0007525,              0.0007525,              0.0007525
                     77,                0.96659,                0.77747,                 1.2748,                0.86096,                0.79003,                0.87997,                0.60881,                 1.0956,                0.76794,                 1.4576,              0.0007492,              0.0007492,              0.0007492
                     78,                0.97745,                0.78746,                 1.2872,                0.86606,                0.80818,                0.87582,                0.59699,                 1.1061,                0.77914,                 1.4523,              0.0007459,              0.0007459,              0.0007459
                     79,                0.98694,                0.79033,                 1.2842,                0.83921,                0.79201,                0.88153,                0.60027,                 1.1135,                0.76926,                 1.4446,              0.0007426,              0.0007426,              0.0007426
                     80,                0.96255,                0.76748,                 1.2636,                0.83135,                0.81538,                0.88202,                0.59954,                 1.1057,                0.77334,                 1.4519,              0.0007393,              0.0007393,              0.0007393
                     81,                0.96154,                0.77657,                 1.2677,                0.85976,                0.82241,                0.89665,                0.62404,                 1.1134,                0.76003,                 1.4554,               0.000736,               0.000736,               0.000736
                     82,                 0.9705,                0.76772,                 1.2735,                0.85403,                0.79059,                 0.8857,                0.60576,                 1.1149,                0.74926,                 1.4601,              0.0007327,              0.0007327,              0.0007327
                     83,                0.97464,                0.76105,                 1.2747,                0.83832,                0.82521,                0.88314,                0.61088,                  1.094,                0.76017,                 1.4453,              0.0007294,              0.0007294,              0.0007294
                     84,                0.97767,                0.77087,                 1.2714,                0.85821,                0.78843,                0.89005,                0.61371,                 1.0958,                0.73594,                 1.4461,              0.0007261,              0.0007261,              0.0007261
                     85,                0.96867,                0.76917,                 1.2677,                 0.8478,                 0.8277,                0.90081,                0.61577,                 1.0926,                0.74065,                 1.4441,              0.0007228,              0.0007228,              0.0007228
                     86,                0.95815,                0.74301,                 1.2616,                 0.8298,                0.82922,                0.88888,                0.60305,                 1.1315,                0.75559,                 1.4755,              0.0007195,              0.0007195,              0.0007195
                     87,                0.97635,                0.75513,                 1.2698,                0.86989,                0.78819,                0.88694,                0.61111,                 1.0897,                0.75084,                 1.4408,              0.0007162,              0.0007162,              0.0007162
                     88,                0.95029,                0.74718,                 1.2637,                0.82917,                0.83828,                 0.8951,                0.61675,                 1.1044,                0.77055,                 1.4454,              0.0007129,              0.0007129,              0.0007129
                     89,                0.94525,                0.74583,                 1.2534,                0.89545,                0.77461,                0.88723,                0.60614,                  1.122,                0.77137,                 1.4785,              0.0007096,              0.0007096,              0.0007096
                     90,                0.95135,                0.74208,                 1.2657,                0.86927,                0.79695,                0.87771,                0.60741,                 1.1051,                0.77633,                 1.4494,              0.0007063,              0.0007063,              0.0007063
                     91,                0.94011,                0.75163,                  1.252,                 0.8586,                0.81208,                0.89436,                0.61816,                 1.0926,                0.73581,                 1.4511,               0.000703,               0.000703,               0.000703
                     92,                0.93126,                0.71864,                 1.2482,                0.85453,                0.81313,                0.89367,                0.62189,                 1.0953,                0.75274,                 1.4455,              0.0006997,              0.0006997,              0.0006997
                     93,                0.94376,                0.72521,                 1.2457,                0.87376,                0.80849,                0.89622,                0.61541,                 1.1159,                0.73077,                  1.444,              0.0006964,              0.0006964,              0.0006964
                     94,                0.95673,                0.74401,                 1.2599,                0.84149,                0.81344,                0.87407,                0.60264,                 1.1027,                0.78456,                  1.447,              0.0006931,              0.0006931,              0.0006931
                     95,                0.94504,                0.72619,                 1.2557,                0.86101,                0.81361,                0.89419,                0.61651,                 1.1065,                0.74976,                 1.4532,              0.0006898,              0.0006898,              0.0006898
                     96,                0.92876,                0.70864,                 1.2471,                0.83381,                0.81888,                0.88536,                0.60753,                  1.099,                0.74978,                 1.4474,              0.0006865,              0.0006865,              0.0006865
                     97,                0.92559,                0.71776,                 1.2495,                0.83876,                0.83386,                0.89823,                0.61774,                 1.0865,                0.73199,                 1.4404,              0.0006832,              0.0006832,              0.0006832
                     98,                0.92663,                 0.7007,                 1.2477,                0.86594,                0.79438,                0.89311,                0.61356,                 1.0934,                0.75592,                 1.4327,              0.0006799,              0.0006799,              0.0006799
                     99,                0.92957,                0.70381,                 1.2425,                0.80513,                0.83409,                0.87739,                0.60974,                 1.0899,                0.76399,                 1.4425,              0.0006766,              0.0006766,              0.0006766
                    100,                0.93013,                0.68995,                 1.2421,                0.88801,                0.80883,                0.89952,                0.62673,                  1.106,                0.71451,                 1.4498,              0.0006733,              0.0006733,              0.0006733
                    101,                0.92174,                0.72067,                  1.244,                0.88535,                0.78412,                0.88519,                0.61831,                 1.0978,                0.73872,                 1.4374,                0.00067,                0.00067,                0.00067
                    102,                0.91247,                 0.7052,                 1.2428,                0.86494,                0.83597,                0.89591,                0.62398,                 1.0924,                0.73491,                 1.4406,              0.0006667,              0.0006667,              0.0006667
